524,39.153,0.71715,0.098348,13.631,7.7083,0
526,38.852,1.229,0.18456,1.2011,3.2895,0
1856,38.926,1.0727,0.30546,1.2435,2.2581,0
703,34.906,2.0993,0.10511,15.033,4.2105,0
2241,33.903,6.2767,0.29643,6.6593,4.1667,0
1068,37.993,2.4091,0.10924,24.591,2.7885,0
803,28.467,10.119,0.10199,2.5615,2.2556,0
630,32.524,2.7955,0.1417,3.549,3.6011,0
1827,37.794,2.8151,0.27252,17.163,3.8095,0
623,39.626,0.28549,0.12642,23.802,3.6364,0
867,27.99,1.572,0.14335,10.17,2.6316,0
11935,30.404,21.867,0.11262,7.601,1.8713,0
866,38.873,0.8222,0.37489,0.1755,2.3864,0
8383,38.666,1.1759,0.17689,20.587,4.1216,0
556,37.527,3.9615,0.10619,12.332,3.3493,0
6039,39.041,0.88254,0.083055,13.398,1.9615,0
1543,39.39,0.40889,0.15554,8.6308,2.5806,0
992,35.732,2.7023,0.22357,3.8484,2.0833,0
980,37.254,1.7977,0.12704,21.927,3.8781,0
1291,34.432,8.8728,0.25438,1.7213,3.2062,0
13778,37.915,2.3497,0.19043,18.692,3.3929,0
1773,22.541,2.527,0.1587,3.6472,3.5714,0
1473,37.754,2.5767,0.28905,0.49512,5.8187,0
1250,38.954,1.5434,0.14337,9.5429,3.0702,0
1577,36.748,5.8016,0.36666,18.695,3.4056,0
5240,38.633,1.1526,0.091286,22.226,4.2105,0
931,39.338,0.58477,0.22167,6.1242,2.6042,0
640,38.848,1.4817,0.16,11.19,2,0
3892,36.119,5.4341,0.27772,32.941,4.7115,0
1226,39.363,1.3405,0.057526,11.749,2.5694,0
961,39.604,0.43491,0.17112,9.4775,2.3077,0
4272,35.828,5.0535,0.23268,24.644,3.3088,0
962,39.627,0.30668,0.17249,9.9119,6.3462,0
1439,36.886,3.2282,0.14025,5.7043,4.7368,0
5035,37.043,6.3966,0.10342,31.361,4.7222,0
1164,38.844,1.0666,0.098344,16.074,7.3333,0
687,27.652,3.0973,0.12952,1.4185,3.7281,0
692,38.523,1.0356,0.19931,6.0197,1.3582,0
521,38.687,0.75625,0.12311,8.8297,2.5,0
885,38.621,0.98101,0.12468,3.8516,2.6316,0
3797,38.973,0.81779,0.12823,16.058,3.3571,0
516,38.547,1.3757,0.20574,17.91,9.0909,0
2091,39.642,0.27198,0.079445,12.97,1.8617,0
1234,39.251,0.72781,0.18363,5.0999,3.6458,0
924,36.959,4.9897,0.23529,16.196,8.134,0
1096,39.354,0.49511,0.30546,5.0244,2.8261,0
663,38.831,0.90359,0.28333,9.5386,6.5,0
3308,36.509,4.2832,0.10205,9.6331,3.6702,0
1363,38.282,3.3748,0.14675,17.823,3.9815,0
3197,36.449,2.8993,0.12411,16.727,4.3233,0
3294,36.95,2.6991,0.12049,7.0847,2.7701,0
2676,34.222,3.1682,0.10834,13.4,4.8077,0
1433,38.731,1.6703,0.13325,8.7413,3.0769,0
1255,32.598,10.776,0.094361,6.8557,1.9391,0
3983,37.156,3.5113,0.26237,28.246,6.9118,0
1385,39.545,0.36493,0.12341,5.6866,3.7069,0
9880,38.58,1.4313,0.24773,10.901,2.2549,0
2862,39.308,0.78972,0.17641,14.334,5.4167,0
983,28.178,1.7089,0.18126,5.2044,1.9964,0
536,27.679,1.9679,0.13786,8.3042,1.6667,0
21044,36.898,6.6003,0.051619,3.4736,4.7719,0
13587,30.817,29.327,0.29758,27.441,2.2273,1
669,38.499,1.0632,0.39123,6.323,2.3684,0
879,24.987,0.37186,0.52825,2.9391,34.211,0
845,37.86,2.861,0.15364,12.934,3.125,0
3254,35.205,17.621,0.20859,16.26,1.3684,0
865,39.055,0.5842,0.27065,6.0303,1.6842,0
560,38.198,1.0446,0.15217,3.5928,2.1739,0
1200,39.207,0.71562,0.065746,7.7448,2.5,0
593,38.189,2.1228,0.20007,20.925,4.8583,0
1829,39.067,0.95392,0.17369,20.105,3.6111,0
630,37.711,2.707,0.22909,9.9747,5.6818,0
934,32.115,5.05,0.20411,2.6732,2.1154,0
1005,25.69,6.9782,0.18273,0.64148,2.2,0
1547,39.592,0.71727,0.11019,13.178,4.0625,0
618,34.173,2.0267,0.14555,0.82521,2.1053,0
1731,36.107,3.0399,0.20805,5.413,6.5789,0
876,36.567,1.0948,0.19554,7.378,5.7143,0
639,35.041,0.978,0.23407,10.883,4.0418,0
687,37.956,0.86563,0.13829,14.089,7.8816,0
1885,33.489,6.1204,0.12418,1.4845,1.0435,0
915,34.496,9.015,0.11671,1.9975,1.3136,0
1455,34.247,6.0529,0.19891,4.0686,1.6514,0
1094,28.458,6.6066,0.15324,0.78616,2.1636,0
2450,33.818,10.843,0.18202,0.327,2.0301,0
759,35.867,3.454,0.10653,10.425,4.1482,0
512,38.355,0.41661,0.35556,4.7469,5.5556,0
2154,38.798,0.19088,0.14165,5.5545,3.0802,0
902,22.66,2.1092,0.16016,4.2805,1.7187,0
712,37.462,1.3862,0.23012,9.6832,5.6586,0
700,38.72,0.21874,0.13228,6.9834,3.0025,0
1509,37.599,0.9877,0.12643,7.9242,2.8226,0
982,36.65,4.193,0.19767,13.348,2.7414,0
691,37.631,1.5903,0.15028,0.18792,3.042,0
